x,y,yaw,aux1,aux2
46.757037, -103.611211, -0.496939, 2.283013, 2.597093
46.834436, -103.652965, -0.494396, 2.296222, 2.607951
46.912427, -103.694844, -0.491390, 2.294654, 2.602664
46.990128, -103.736284, -0.488102, 2.283860, 2.590759
47.068487, -103.777925, -0.485199, 2.305195, 2.607679
47.147334, -103.819331, -0.481970, 2.319757, 2.618430
47.225721, -103.860289, -0.479218, 2.319471, 2.624831
47.304465, -103.901038, -0.476036, 2.308923, 2.596998
47.383319, -103.941548, -0.473473, 2.323988, 2.611020
47.462424, -103.981939, -0.470799, 2.334508, 2.619693
47.541884, -104.022251, -0.468239, 2.341355, 2.623941
47.621575, -104.062434, -0.465792, 2.348317, 2.628331
47.701490, -104.102472, -0.463021, 2.355235, 2.632394
47.781661, -104.142351, -0.460202, 2.362907, 2.637404
47.862092, -104.182083, -0.457407, 2.370609, 2.642226
47.942787, -104.221655, -0.454447, 2.378583, 2.647339
48.023985, -104.261188, -0.451135, 2.386413, 2.652594
48.104758, -104.300106, -0.447535, 2.384935, 2.643922
48.185816, -104.338845, -0.444437, 2.389971, 2.646978
48.267328, -104.377527, -0.442025, 2.381224, 2.633771
48.348330, -104.415686, -0.438008, 2.387216, 2.636487
48.429586, -104.453558, -0.434336, 2.393392, 2.638603
48.510973, -104.491148, -0.431101, 2.395654, 2.637127
48.592442, -104.528476, -0.428239, 2.398300, 2.636565
48.674012, -104.565584, -0.425699, 2.401631, 2.637162
48.755296, -104.602327, -0.422098, 2.395577, 2.630754
48.836430, -104.638617, -0.419236, 2.404504, 2.633685
48.918210, -104.674984, -0.415822, 2.406224, 2.630463
49.000287, -104.711044, -0.412171, 2.417362, 2.638713
49.082676, -104.746952, -0.410074, 2.424734, 2.643959
49.165096, -104.782685, -0.407821, 2.428350, 2.644974
49.247736, -104.818236, -0.404739, 2.435484, 2.649668
49.330651, -104.853610, -0.401791, 2.443586, 2.655164
49.413840, -104.888819, -0.398989, 2.451823, 2.660895
49.497291, -104.923863, -0.396029, 2.459489, 2.665730
49.580696, -104.958702, -0.393180, 2.445989, 2.648279
49.664731, -104.993271, -0.390632, 2.467958, 2.669573
49.748755, -105.027661, -0.387415, 2.475790, 2.673781
49.833030, -105.061897, -0.384357, 2.483512, 2.678934
49.917071, -105.095929, -0.380923, 2.493813, 2.687639
50.001807, -105.129729, -0.377832, 2.492735, 2.681643
50.086930, -105.163371, -0.374720, 2.522194, 2.714785
50.171862, -105.196664, -0.372022, 2.492195, 2.674480
50.256602, -105.229573, -0.368955, 2.498283, 2.678289
50.341576, -105.262276, -0.365933, 2.504868, 2.682485
50.426776, -105.294785, -0.363140, 2.511432, 2.686638
50.512209, -105.327116, -0.360392, 2.520708, 2.693617
50.598020, -105.359307, -0.357386, 2.528400, 2.698988
50.684068, -105.391294, -0.354434, 2.535409, 2.703470
50.770349, -105.423075, -0.351361, 2.542322, 2.707751
50.856872, -105.454638, -0.348251, 2.549467, 2.712320
50.943801, -105.486040, -0.344633, 2.541449, 2.701074
51.030281, -105.516884, -0.341179, 2.551165, 2.706495
51.117026, -105.547515, -0.337854, 2.558196, 2.711608
51.204153, -105.577897, -0.334736, 2.591128, 2.738119
51.291194, -105.608135, -0.332293, 2.544500, 2.692063
51.377932, -105.637881, -0.328293, 2.554518, 2.698807
51.464860, -105.667315, -0.324758, 2.559923, 2.701248
51.551893, -105.696460, -0.321562, 2.561520, 2.700022
51.638985, -105.725330, -0.318659, 2.563470, 2.699477
51.725737, -105.753882, -0.316913, 2.530951, 2.658574
51.812301, -105.782179, -0.316440, 2.564090, 2.696978
51.899461, -105.810651, -0.316200, 2.562482, 2.695985
51.986727, -105.839125, -0.314673, 2.567127, 2.699763
52.074124, -105.867484, -0.312801, 2.571184, 2.702453
52.161600, -105.895686, -0.310969, 2.572554, 2.702236
52.249118, -105.923730, -0.309244, 2.577413, 2.705848
52.336804, -105.951666, -0.307623, 2.582409, 2.709690
52.424659, -105.979503, -0.306073, 2.587624, 2.713796
52.512683, -106.007240, -0.304320, 2.592660, 2.717459
52.600533, -106.034662, -0.303156, 2.602010, 2.724681
52.688862, -106.062151, -0.301037, 2.595392, 2.717994
52.777179, -106.089476, -0.298958, 2.601330, 2.722118
52.865683, -106.116656, -0.296895, 2.606739, 2.725966
52.953882, -106.143658, -0.294348, 2.606534, 2.728259
53.042748, -106.170574, -0.292298, 2.613209, 2.729180
53.132141, -106.197391, -0.290239, 2.615409, 2.729879
53.220584, -106.223674, -0.288031, 2.605849, 2.718215
53.309207, -106.249823, -0.285794, 2.611644, 2.722038
53.398008, -106.275808, -0.283555, 2.616768, 2.725575
53.486985, -106.301630, -0.281391, 2.621937, 2.729285
53.576231, -106.327326, -0.279261, 2.631178, 2.737187
53.665742, -106.352885, -0.277025, 2.636336, 2.740843
53.755435, -106.378283, -0.274868, 2.641607, 2.744632
53.845303, -106.403522, -0.272702, 2.646756, 2.748314
53.935350, -106.428609, -0.270564, 2.656712, 2.759097
54.025573, -106.453502, -0.267963, 2.637354, 2.734763
54.115479, -106.478063, -0.265637, 2.649101, 2.745106
54.205634, -106.502460, -0.263048, 2.655889, 2.750587
54.295952, -106.526665, -0.260678, 2.658772, 2.751818
54.386601, -106.550749, -0.259157, 2.648583, 2.739571
54.476575, -106.574514, -0.256692, 2.650490, 2.740517
54.566659, -106.598037, -0.254168, 2.654263, 2.742423
54.656867, -106.621361, -0.251892, 2.653944, 2.740488
54.746736, -106.644520, -0.250323, 2.632820, 2.718224
54.836442, -106.667321, -0.251193, 2.632220, 2.718850
54.926195, -106.690213, -0.249374, 2.639778, 2.724368
55.016103, -106.713054, -0.247225, 2.645994, 2.728919
55.106170, -106.735672, -0.244921, 2.649173, 2.730819
55.196228, -106.758115, -0.243643, 2.648897, 2.729506
55.286308, -106.780449, -0.242454, 2.651884, 2.731837
55.376496, -106.802700, -0.241331, 2.655210, 2.734503
55.466802, -106.824876, -0.240274, 2.658768, 2.737452
55.557232, -106.846984, -0.239289, 2.662485, 2.740614
55.647484, -106.869069, -0.238699, 2.640019, 2.717933
55.738168, -106.890965, -0.238615, 2.663821, 2.742693
55.828755, -106.912886, -0.237474, 2.666838, 2.743766
55.919460, -106.934794, -0.236612, 2.670713, 2.747229
56.010298, -106.956647, -0.235567, 2.674693, 2.750677
56.100752, -106.978433, -0.234124, 2.674246, 2.752894
56.192066, -107.000371, -0.233107, 2.695037, 2.766889
56.282760, -107.021796, -0.231877, 2.662833, 2.736287
56.373261, -107.043114, -0.230883, 2.665371, 2.738180
56.463848, -107.064374, -0.230139, 2.667963, 2.740225
56.554522, -107.085585, -0.229459, 2.671931, 2.743856
56.645464, -107.106794, -0.228797, 2.677048, 2.748730
56.736498, -107.127964, -0.228180, 2.679799, 2.751158
56.827627, -107.149098, -0.227601, 2.682733, 2.753798
56.918858, -107.170201, -0.227030, 2.685916, 2.756691
57.010197, -107.191272, -0.226337, 2.689212, 2.759575
57.101803, -107.212393, -0.225324, 2.714032, 2.785093
57.193114, -107.233144, -0.223489, 2.683627, 2.752514
